Combination,Silhouette
DEFAULT_louv,-1.0
nuc_qv0_ng16_pc0_ts100_hvg_True_scale_True_norm_True_log_True_louv,-1.0
nuc_qv0_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_False_louv,-1.0
nuc_qv0_ng16_pc0_ts100_hvg_False_scale_False_norm_True_log_True_louv,-1.0
nuc_qv0_ng16_pc15_ts100_hvg_False_scale_True_norm_True_log_True_louv,-1.0
nuc_qv0_ng16_pc25_ts100_hvg_False_scale_True_norm_True_log_True_louv,-1.0
nuc_qv0_ng16_pc0_ts100_hvg_False_scale_True_norm_False_log_True_louv,-1.0
nuc_qv0_ng12_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,-1.0
nuc_qv0_ng6_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,-1.0
nuc_qv0_ng20_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,-1.0
nuc_qv0_ng16_pc0_ts10_hvg_False_scale_True_norm_True_log_True_louv,-1.0
nuc_qv0_ng16_pc0_ts1000_hvg_False_scale_True_norm_True_log_True_louv,-1.0
nuc_qv0_ng16_pc0_tsNone_hvg_False_scale_True_norm_True_log_True_louv,-1.0
cell_qv0_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,-1.0
nuc_qv20_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,-1.0
nuc_qv30_ng16_pc0_ts100_hvg_False_scale_True_norm_True_log_True_louv,-1.0
